Year,Undergraduate,Graduate,Professional,Total
1967,14417 ,2631 ,1019 ,18067 
1968,,,,19150 
1969,16023 ,2827 ,768 ,19618 
1970,16884 ,3159 ,767 ,20810 
1971,,,,21541 
1972,17844 ,3019 ,718 ,21581 
1973,,,,21160 
1974,,,,20892 
1975,17840 ,3624 ,916 ,22380 
1976,17936 ,3493 ,750 ,22179 
1977,18026 ,3474 ,756 ,22256 
1978,18141 ,3571 ,765 ,22477 
1979,19703 ,3476 ,482 ,23661 
1980,20127 ,3518 ,483 ,24128 
1981,20587 ,3714 ,485 ,24786 
1982,20799 ,3816 ,460 ,25075 
1983,20471 ,3865 ,453 ,24789 
1984,20083 ,3706 ,439 ,24228 
1985,19911 ,3680 ,429 ,24020 
1986,19720 ,3771 ,408 ,23899 
1987,19309 ,3763 ,397 ,23469 
1988,19755 ,3821 ,409 ,23985 
1989,19791 ,3714 ,421 ,23926 
1990,20082 ,3931 ,440 ,24453 
1991,19884 ,4302 ,434 ,24620 
1992,19746 ,4381 ,446 ,24573 
1993,19625 ,4421 ,445 ,24491 
1994,18700 ,4732 ,422 ,23854 
1995,19186 ,4711 ,423 ,24320 
1996,18954 ,4546 ,387 ,23887 
1997,18246 ,4159 ,422 ,22827 
1998,17980 ,3979 ,449 ,22408 
1999,17804 ,3893 ,445 ,22142 
2000,17968 ,3869 ,431 ,22268 
2001,17985 ,4309 ,470 ,22764 
2002,18118 ,4380 ,490 ,22988 
2003,17851 ,4219 ,489 ,22559 
2004,17137 ,4162 ,493 ,21792 
2005,17037 ,4150 ,488 ,21675 
2006,17371 ,4257 ,478 ,22106 
2007,18053 ,4418 ,502 ,22973 
2008,18526 ,4500 ,547 ,23573 
2009,18955 ,4591 ,554 ,24100 
2010,19383 ,4620 ,607 ,24610 
2011,19345 ,4679 ,569 ,24593 
2012,19103 ,4559 ,545 ,24207 
2013,19376 ,4554 ,515 ,24445 
2014,19979 ,4517 ,510 ,25006 
2015,20182 ,4576 ,502 ,25260 
2016,20833 ,4567 ,497 ,25897 